Country,Code,Year,Life_expectancy,GDP_PPP,Population,Fertility_rate,Region,Religion
Ecuador,ECU,2015,76.143,10.9,16.2,2.514,South America,Christianity
Saint Lucia,LCA,2015,75.596,10.7,0.2,1.471,North America,Christianity
Sri Lanka,LKA,2015,76.316,10.7,20.9,2.063,Asia,Other
Tunisia,TUN,2015,75.922,10.6,11.2,2.223,Africa,Islam
Bosnia and Herzegovina,BIH,2015,76.865,10.3,3.4,1.345,Europe,Christianity
Georgia,GEO,2015,72.973,10.2,4,2.003,Asia,Christianity
Indonesia,IDN,2015,70.768,10.1,258.4,2.389,Asia,Islam
Barbados,BRB,2015,78.801,10,0.3,1.796,North America,Christianity
Armenia,ARM,2015,74.467,9.6,2.9,1.622,Asia,Christianity
Ukraine,UKR,2015,71.535,9.4,44.9,1.528,Europe,Christianity
Uzbekistan,UZB,2015,70.928,9.1,30.9,2.313,Asia,Islam
Angola,AGO,2015,59.398,8.6,27.9,5.766,Africa,Christianity
Libya,LBY,2015,72.121,8.5,6.4,2.312,Africa,Islam
Paraguay,PRY,2015,73.662,8.4,6.7,2.509,South America,Christianity
El Salvador,SLV,2015,72.412,8.2,6.3,2.101,North America,Christianity
Cuba,CUB,2015,78.561,7.9,11.3,1.72,North America,Christianity
Swaziland,SWZ,2015,55.359,7.7,1.1,3.141,Africa,Christianity
Morocco,MAR,2015,75.726,7.6,34.7,2.526,Africa,Islam
Guatemala,GTM,2015,73.25,7.1,16.3,3.029,North America,Christianity
Jamaica,JAM,2015,74.098,7.1,2.9,2.026,North America,Christianity
Philippines,PHL,2015,70.644,6.9,102.1,2.958,Asia,Christianity
Cape Verde,CPV,2015,72.117,6.4,0.5,2.374,Africa,Christianity
Bolivia,BOL,2015,70.277,6,10.9,2.921,South America,Christianity
Laos,LAO,2015,66.546,6,6.7,2.758,Asia,Other
Kyrgyzstan,KGZ,2015,70.876,5.9,6,3.051,Asia,Islam
Myanmar,MMR,2015,65.81,5.8,52.7,2.23,Asia,Other
Vietnam,VNM,2015,75.11,5.7,92.7,1.958,Asia,Other
India,IND,2015,68.607,5.6,1310.2,2.352,Asia,Other
Moldova,MDA,2015,71.478,5.6,4.1,1.248,Europe,Christianity
Nigeria,NGA,2015,53.112,5.5,181.1,5.591,Africa,Christianity
Pakistan,PAK,2015,66.577,5.1,199.4,3.55,Asia,Islam
Nicaragua,NIC,2015,73.649,4.7,6.2,2.231,North America,Christianity
