Region,GDP_mln,Per_Capita_gdp
YEREVAN,3032453,2816433
ARAGATSOTN,175227,1371121
ARARAT,381659,1478727
ARMAVIR,340603,1284327
GEGHARKUNIK,224241,974118
LORI,276931,1263372
KOTAYK,346843,1375270
SHIRAK,238001,1002954
SYUNIK,335238,2417001
VAYOTZ DZOR,94635,1892716
TAVUSH,118656,956908
